facility_ID,subtype_code,lat,lon,OGI_RS,truck_RS,aircraft_RS,OGI_time,aircraft_time,truck_time,OGI_FU_time,fixed_sensors
ABRAND00056,601,54.91,-119.68,1,4,2,120,5,30,120,1
ABRAND00057,601,56.03,-119.68,1,4,2,120,5,30,120,1
ABRAND00058,601,55.27,-119.67,1,4,2,120,5,30,120,1
ABRAND00059,601,55.1,-119.66,1,4,2,120,5,30,120,1
ABRAND00060,601,56.12,-119.65,1,4,2,120,5,30,120,1
ABRAND00061,601,55.06,-119.64,1,4,2,120,5,30,120,1
ABRAND00062,601,55.13,-119.64,1,4,2,120,5,30,120,1
ABRAND00063,601,54.79,-119.63,1,4,2,120,5,30,120,1
ABRAND00064,601,54.71,-119.63,1,4,2,120,5,30,120,1
ABRAND00065,503,55.03,-119.62,1,4,2,120,5,30,120,1
ABRAND00066,601,54.94,-119.61,1,4,2,120,5,30,120,1
ABRAND00067,601,54.85,-119.61,1,4,2,120,5,30,120,1
ABRAND00068,601,57.4,-119.6,1,4,2,120,5,30,120,1
ABRAND00069,601,55.01,-119.6,1,4,2,120,5,30,120,1
ABRAND00070,601,55.14,-119.59,1,4,2,120,5,30,120,1
ABRAND00071,601,54.55,-119.58,1,4,2,120,5,30,120,1
ABRAND00072,601,54.84,-119.58,1,4,2,120,5,30,120,1
ABRAND00073,601,54.72,-119.58,1,4,2,120,5,30,120,1
ABRAND00074,601,55.13,-119.57,1,4,2,120,5,30,120,1
ABRAND00075,601,57.6,-119.57,1,4,2,120,5,30,120,1
ABRAND00076,362,55.15,-119.57,1,4,2,120,5,30,120,1
ABRAND00077,601,57.41,-119.56,1,4,2,120,5,30,120,1
ABRAND00078,601,54.98,-119.56,1,4,2,120,5,30,120,1
ABRAND00079,601,54.72,-119.56,1,4,2,120,5,30,120,1
ABRAND00080,601,54.85,-119.56,1,4,2,120,5,30,120,1
ABRAND00081,401,55.09,-119.56,1,4,2,120,5,30,120,1
ABRAND00082,601,55.14,-119.56,1,4,2,120,5,30,120,1
ABRAND00083,351,55.43,-119.55,1,4,2,120,5,30,120,1
ABRAND00084,601,55.08,-119.55,1,4,2,120,5,30,120,1
ABRAND00085,601,57.51,-119.55,1,4,2,120,5,30,120,1
ABRAND00086,601,54.86,-119.54,1,4,2,120,5,30,120,1
ABRAND00087,601,54.43,-119.53,1,4,2,120,5,30,120,1
ABRAND00088,601,54.55,-119.53,1,4,2,120,5,30,120,1
ABRAND00089,601,54.78,-119.52,1,4,2,120,5,30,120,1
ABRAND00090,601,55.08,-119.52,1,4,2,120,5,30,120,1
ABRAND00091,311,55.04,-119.51,1,4,2,120,5,30,120,1
ABRAND00092,601,54.74,-119.51,1,4,2,120,5,30,120,1
ABRAND00093,311,54.84,-119.51,1,4,2,120,5,30,120,1
ABRAND00094,601,54.65,-119.51,1,4,2,120,5,30,120,1
ABRAND00095,601,54.72,-119.5,1,4,2,120,5,30,120,1
ABRAND00096,601,55.35,-119.5,1,4,2,120,5,30,120,1
ABRAND00097,601,55.37,-119.5,1,4,2,120,5,30,120,1
ABRAND00098,601,54.94,-119.5,1,4,2,120,5,30,120,1
ABRAND00099,601,54.69,-119.47,1,4,2,120,5,30,120,1
ABRAND00100,601,55.23,-119.46,1,4,2,120,5,30,120,1
ABRAND00101,601,54.88,-119.44,1,4,2,120,5,30,120,1
ABRAND00102,601,57.45,-119.44,1,4,2,120,5,30,120,1
ABRAND00103,601,54.98,-119.44,1,4,2,120,5,30,120,1
ABRAND00104,601,54.58,-119.42,1,4,2,120,5,30,120,1
ABRAND00105,601,55.84,-119.42,1,4,2,120,5,30,120,1
ABRAND00106,311,55.2,-119.4,1,4,2,120,5,30,120,1
ABRAND00107,601,54.9,-119.4,1,4,2,120,5,30,120,1
ABRAND00108,601,54.82,-119.39,1,4,2,120,5,30,120,1
ABRAND00109,321,54.68,-119.38,1,4,2,120,5,30,120,1
ABRAND00110,601,54.85,-119.38,1,4,2,120,5,30,120,1
ABRAND00111,601,55.55,-119.38,1,4,2,120,5,30,120,1
ABRAND00112,601,55.11,-119.38,1,4,2,120,5,30,120,1
ABRAND00113,601,54.91,-119.38,1,4,2,120,5,30,120,1
ABRAND00114,601,55.12,-119.37,1,4,2,120,5,30,120,1
ABRAND00115,601,54.86,-119.36,1,4,2,120,5,30,120,1
ABRAND00116,601,55.29,-119.34,1,4,2,120,5,30,120,1
ABRAND00117,311,55.4,-119.34,1,4,2,120,5,30,120,1
ABRAND00118,311,55.33,-119.33,1,4,2,120,5,30,120,1
ABRAND00119,601,55.6,-119.32,1,4,2,120,5,30,120,1
ABRAND00120,601,54.94,-119.32,1,4,2,120,5,30,120,1
ABRAND00121,601,55.44,-119.3,1,4,2,120,5,30,120,1
ABRAND00122,601,54.73,-119.3,1,4,2,120,5,30,120,1
ABRAND00123,601,55.02,-119.3,1,4,2,120,5,30,120,1
ABRAND00124,601,54.83,-119.3,1,4,2,120,5,30,120,1
ABRAND00125,601,54.95,-119.29,1,4,2,120,5,30,120,1
ABRAND00126,601,54.9,-119.29,1,4,2,120,5,30,120,1
ABRAND00127,601,55.09,-119.29,1,4,2,120,5,30,120,1
ABRAND00128,601,54.86,-119.27,1,4,2,120,5,30,120,1
ABRAND00129,601,54.66,-119.26,1,4,2,120,5,30,120,1
ABRAND00130,601,54.61,-119.26,1,4,2,120,5,30,120,1
ABRAND00131,601,54.9,-119.26,1,4,2,120,5,30,120,1
ABRAND00132,351,55.27,-119.26,1,4,2,120,5,30,120,1
ABRAND00133,601,54.99,-119.26,1,4,2,120,5,30,120,1
ABRAND00134,601,55.38,-119.24,1,4,2,120,5,30,120,1
ABRAND00135,601,55.29,-119.24,1,4,2,120,5,30,120,1
ABRAND00136,601,55.43,-119.24,1,4,2,120,5,30,120,1
ABRAND00137,311,55.32,-119.23,1,4,2,120,5,30,120,1
ABRAND00138,601,55.35,-119.22,1,4,2,120,5,30,120,1
ABRAND00139,601,55.02,-119.19,1,4,2,120,5,30,120,1
ABRAND00140,601,55.3,-119.19,1,4,2,120,5,30,120,1
ABRAND00141,351,54.52,-119.18,1,4,2,120,5,30,120,1
ABRAND00142,601,55.08,-119.17,1,4,2,120,5,30,120,1
ABRAND00143,601,54.51,-119.17,1,4,2,120,5,30,120,1
ABRAND00144,601,54.7,-119.15,1,4,2,120,5,30,120,1
ABRAND00145,601,55.56,-119.15,1,4,2,120,5,30,120,1
ABRAND00146,351,54.43,-119.15,1,4,2,120,5,30,120,1
ABRAND00147,601,54.88,-119.14,1,4,2,120,5,30,120,1
ABRAND00148,601,54.97,-119.14,1,4,2,120,5,30,120,1
ABRAND00149,351,54.54,-119.14,1,4,2,120,5,30,120,1
ABRAND00150,351,54.71,-119.13,1,4,2,120,5,30,120,1
ABRAND00151,601,54.23,-119.13,1,4,2,120,5,30,120,1
ABRAND00152,601,54.8,-119.12,1,4,2,120,5,30,120,1
ABRAND00153,601,54.58,-119.12,1,4,2,120,5,30,120,1
ABRAND00154,601,54.95,-119.11,1,4,2,120,5,30,120,1
ABRAND00155,601,54.8,-119.1,1,4,2,120,5,30,120,1
ABRAND00156,362,54.63,-119.09,1,4,2,120,5,30,120,1
ABRAND00157,351,54.56,-119.09,1,4,2,120,5,30,120,1
ABRAND00158,351,54.38,-119.07,1,4,2,120,5,30,120,1
ABRAND00159,601,54.79,-119.06,1,4,2,120,5,30,120,1
ABRAND00160,601,54.76,-119.04,1,4,2,120,5,30,120,1
ABRAND00161,351,54.57,-119.03,1,4,2,120,5,30,120,1
ABRAND00162,601,54.7,-119.03,1,4,2,120,5,30,120,1
ABRAND00163,351,54.45,-119.02,1,4,2,120,5,30,120,1
ABRAND00164,351,54.52,-119.01,1,4,2,120,5,30,120,1
ABRAND00165,601,55.6,-119,1,4,2,120,5,30,120,1
ABRAND00166,601,55.25,-119,1,4,2,120,5,30,120,1
ABRAND00167,621,54.36,-118.99,1,4,2,120,5,30,120,1
ABRAND00168,351,54.5,-118.98,1,4,2,120,5,30,120,1
ABRAND00169,601,54.69,-118.97,1,4,2,120,5,30,120,1
ABRAND00170,601,55.34,-118.96,1,4,2,120,5,30,120,1
ABRAND00171,351,54.42,-118.95,1,4,2,120,5,30,120,1
ABRAND00172,351,54.44,-118.94,1,4,2,120,5,30,120,1
ABRAND00173,351,54.43,-118.94,1,4,2,120,5,30,120,1
ABRAND00174,351,54.54,-118.94,1,4,2,120,5,30,120,1
ABRAND00175,601,55.34,-118.94,1,4,2,120,5,30,120,1
ABRAND00176,361,54.42,-118.93,1,4,2,120,5,30,120,1
ABRAND00177,601,54.62,-118.91,1,4,2,120,5,30,120,1
ABRAND00178,351,54.22,-118.91,1,4,2,120,5,30,120,1
ABRAND00179,601,54.72,-118.9,1,4,2,120,5,30,120,1
ABRAND00180,601,54.53,-118.89,1,4,2,120,5,30,120,1
ABRAND00181,351,54.38,-118.89,1,4,2,120,5,30,120,1
ABRAND00182,601,54.95,-118.88,1,4,2,120,5,30,120,1
ABRAND00183,351,54.42,-118.87,1,4,2,120,5,30,120,1
ABRAND00184,351,54.65,-118.86,1,4,2,120,5,30,120,1
ABRAND00185,351,54.5,-118.86,1,4,2,120,5,30,120,1
ABRAND00186,351,54.34,-118.86,1,4,2,120,5,30,120,1
ABRAND00187,621,54.65,-118.85,1,4,2,120,5,30,120,1
ABRAND00188,351,54.37,-118.85,1,4,2,120,5,30,120,1
ABRAND00189,351,54.46,-118.82,1,4,2,120,5,30,120,1
ABRAND00190,601,54.43,-118.82,1,4,2,120,5,30,120,1
ABRAND00191,351,54.12,-118.81,1,4,2,120,5,30,120,1
ABRAND00192,322,54.49,-118.81,1,4,2,120,5,30,120,1
ABRAND00193,351,54.5,-118.8,1,4,2,120,5,30,120,1
ABRAND00194,601,54.55,-118.8,1,4,2,120,5,30,120,1
ABRAND00195,351,54.52,-118.79,1,4,2,120,5,30,120,1
ABRAND00196,601,54.93,-118.79,1,4,2,120,5,30,120,1
ABRAND00197,351,54.54,-118.78,1,4,2,120,5,30,120,1
ABRAND00198,351,54.31,-118.78,1,4,2,120,5,30,120,1
ABRAND00199,621,54.41,-118.77,1,4,2,120,5,30,120,1
ABRAND00200,351,54.45,-118.76,1,4,2,120,5,30,120,1
ABRAND00201,351,54.53,-118.76,1,4,2,120,5,30,120,1
ABRAND00202,351,54.32,-118.75,1,4,2,120,5,30,120,1
ABRAND00203,621,54.37,-118.75,1,4,2,120,5,30,120,1
ABRAND00204,351,54.23,-118.75,1,4,2,120,5,30,120,1
ABRAND00205,351,54.47,-118.75,1,4,2,120,5,30,120,1
ABRAND00206,351,54.2,-118.74,1,4,2,120,5,30,120,1
ABRAND00207,351,54.46,-118.74,1,4,2,120,5,30,120,1
ABRAND00208,351,54.34,-118.72,1,4,2,120,5,30,120,1
ABRAND00209,351,54.25,-118.72,1,4,2,120,5,30,120,1
ABRAND00210,351,54.19,-118.72,1,4,2,120,5,30,120,1
ABRAND00211,351,54.54,-118.72,1,4,2,120,5,30,120,1
ABRAND00212,351,54.53,-118.71,1,4,2,120,5,30,120,1
ABRAND00213,351,54.36,-118.71,1,4,2,120,5,30,120,1
ABRAND00214,351,54.45,-118.7,1,4,2,120,5,30,120,1
ABRAND00215,601,54.36,-118.7,1,4,2,120,5,30,120,1
ABRAND00216,351,54.19,-118.7,1,4,2,120,5,30,120,1
ABRAND00217,351,54.44,-118.7,1,4,2,120,5,30,120,1
ABRAND00218,351,54.35,-118.69,1,4,2,120,5,30,120,1
ABRAND00219,351,54.46,-118.69,1,4,2,120,5,30,120,1
ABRAND00220,351,54.45,-118.69,1,4,2,120,5,30,120,1
ABRAND00221,351,54.4,-118.68,1,4,2,120,5,30,120,1
ABRAND00222,361,54.4,-118.68,1,4,2,120,5,30,120,1
ABRAND00223,351,54.32,-118.67,1,4,2,120,5,30,120,1
ABRAND00224,351,54.44,-118.67,1,4,2,120,5,30,120,1
ABRAND00225,351,54.52,-118.66,1,4,2,120,5,30,120,1
ABRAND00226,351,54.3,-118.65,1,4,2,120,5,30,120,1
ABRAND00227,351,54.49,-118.63,1,4,2,120,5,30,120,1
ABRAND00228,351,54.55,-118.63,1,4,2,120,5,30,120,1
ABRAND00229,351,54.41,-118.63,1,4,2,120,5,30,120,1
ABRAND00230,322,54.62,-118.59,1,4,2,120,5,30,120,1
ABRAND00231,351,54.47,-118.58,1,4,2,120,5,30,120,1
ABRAND00232,351,54.26,-118.56,1,4,2,120,5,30,120,1
ABRAND00233,351,54.54,-118.55,1,4,2,120,5,30,120,1
ABRAND00234,351,54.25,-118.55,1,4,2,120,5,30,120,1
ABRAND00235,601,57.13,-118.54,1,4,2,120,5,30,120,1
ABRAND00236,351,54.39,-118.53,1,4,2,120,5,30,120,1
ABRAND00237,621,54.5,-118.48,1,4,2,120,5,30,120,1
ABRAND00238,311,54.31,-118.44,1,4,2,120,5,30,120,1
ABRAND00239,351,54.36,-118.42,1,4,2,120,5,30,120,1
ABRAND00240,621,54.2,-118.42,1,4,2,120,5,30,120,1
ABRAND00241,361,54.03,-118.38,1,4,2,120,5,30,120,1
ABRAND00242,401,54.28,-118.32,1,4,2,120,5,30,120,1
ABRAND00243,311,54.21,-118.16,1,4,2,120,5,30,120,1
ABRAND00244,361,54.12,-118.13,1,4,2,120,5,30,120,1
ABRAND00245,351,54.29,-118.1,1,4,2,120,5,30,120,1
ABRAND00246,601,56.99,-118.03,1,4,2,120,5,30,120,1
ABRAND00247,361,54.21,-118,1,4,2,120,5,30,120,1
ABRAND00248,621,54.07,-117.94,1,4,2,120,5,30,120,1
ABRAND00249,601,53.58,-117.9,1,4,2,120,5,30,120,1
ABRAND00250,601,56.24,-117.87,1,4,2,120,5,30,120,1
ABRAND00251,361,53.88,-117.85,1,4,2,120,5,30,120,1
ABRAND00252,601,53.78,-117.83,1,4,2,120,5,30,120,1
ABRAND00253,361,54.42,-117.79,1,4,2,120,5,30,120,1
ABRAND00254,601,53.41,-117.78,1,4,2,120,5,30,120,1
ABRAND00255,361,54.05,-117.75,1,4,2,120,5,30,120,1
ABRAND00256,601,53.5,-117.74,1,4,2,120,5,30,120,1
ABRAND00257,621,54.08,-117.71,1,4,2,120,5,30,120,1
ABRAND00258,351,54.02,-117.7,1,4,2,120,5,30,120,1
ABRAND00259,601,53.21,-117.7,1,4,2,120,5,30,120,1
ABRAND00260,322,54.14,-117.67,1,4,2,120,5,30,120,1
ABRAND00261,351,54.06,-117.65,1,4,2,120,5,30,120,1
ABRAND00262,351,54.02,-117.63,1,4,2,120,5,30,120,1
ABRAND00263,601,53.63,-117.63,1,4,2,120,5,30,120,1
ABRAND00264,621,53.99,-117.62,1,4,2,120,5,30,120,1
ABRAND00265,361,54.2,-117.62,1,4,2,120,5,30,120,1
ABRAND00266,601,54.09,-117.62,1,4,2,120,5,30,120,1
ABRAND00267,361,54.17,-117.59,1,4,2,120,5,30,120,1
ABRAND00268,351,54.26,-117.58,1,4,2,120,5,30,120,1
ABRAND00269,601,54.25,-117.58,1,4,2,120,5,30,120,1
ABRAND00270,621,54.15,-117.57,1,4,2,120,5,30,120,1
ABRAND00271,621,54.23,-117.57,1,4,2,120,5,30,120,1
ABRAND00272,621,53.98,-117.56,1,4,2,120,5,30,120,1
ABRAND00273,601,54.07,-117.55,1,4,2,120,5,30,120,1
ABRAND00274,601,54.85,-117.54,1,4,2,120,5,30,120,1
ABRAND00275,361,54.09,-117.53,1,4,2,120,5,30,120,1
ABRAND00276,361,54.23,-117.52,1,4,2,120,5,30,120,1
ABRAND00277,601,54,-117.52,1,4,2,120,5,30,120,1
ABRAND00278,601,54.15,-117.51,1,4,2,120,5,30,120,1
ABRAND00279,621,54.11,-117.5,1,4,2,120,5,30,120,1
ABRAND00280,621,54.22,-117.49,1,4,2,120,5,30,120,1
ABRAND00281,322,54.34,-117.45,1,4,2,120,5,30,120,1
ABRAND00282,361,53.96,-117.43,1,4,2,120,5,30,120,1
ABRAND00283,361,54.11,-117.41,1,4,2,120,5,30,120,1
ABRAND00284,601,54.16,-117.41,1,4,2,120,5,30,120,1
ABRAND00285,601,54,-117.38,1,4,2,120,5,30,120,1
ABRAND00286,621,54.08,-117.38,1,4,2,120,5,30,120,1
ABRAND00287,601,54.15,-117.37,1,4,2,120,5,30,120,1
ABRAND00288,601,54.65,-117.35,1,4,2,120,5,30,120,1
ABRAND00289,621,54.67,-117.3,1,4,2,120,5,30,120,1
ABRAND00290,311,54.07,-117.29,1,4,2,120,5,30,120,1
ABRAND00291,361,54.07,-117.25,1,4,2,120,5,30,120,1
ABRAND00292,322,53.97,-117.25,1,4,2,120,5,30,120,1
ABRAND00293,601,53.23,-117.25,1,4,2,120,5,30,120,1
ABRAND00294,361,54.04,-117.24,1,4,2,120,5,30,120,1
ABRAND00295,361,54.87,-117.13,1,4,2,120,5,30,120,1
ABRAND00296,322,53.99,-117.1,1,4,2,120,5,30,120,1
ABRAND00297,601,53.99,-117.09,1,4,2,120,5,30,120,1
ABRAND00298,311,54.12,-117.09,1,4,2,120,5,30,120,1
ABRAND00299,311,53.85,-117.08,1,4,2,120,5,30,120,1
ABRAND00300,601,53.17,-117.06,1,4,2,120,5,30,120,1
ABRAND00301,601,54.15,-116.92,1,4,2,120,5,30,120,1
ABRAND00302,601,54.24,-116.84,1,4,2,120,5,30,120,1
ABRAND00303,601,54.11,-116.81,1,4,2,120,5,30,120,1
ABRAND00304,601,54.19,-116.69,1,4,2,120,5,30,120,1
ABRAND00305,601,53.25,-116.61,1,4,2,120,5,30,120,1
ABRAND00306,601,54.19,-116.55,1,4,2,120,5,30,120,1
ABRAND00307,362,53.41,-116.53,1,4,2,120,5,30,120,1
ABRAND00308,311,53.24,-116.45,1,4,2,120,5,30,120,1
ABRAND00309,311,54.43,-116.41,1,4,2,120,5,30,120,1
ABRAND00310,362,53.2,-116.39,1,4,2,120,5,30,120,1
ABRAND00311,601,53.33,-116.39,1,4,2,120,5,30,120,1
ABRAND00312,311,53.14,-116.38,1,4,2,120,5,30,120,1
ABRAND00313,362,52.97,-116.34,1,4,2,120,5,30,120,1
ABRAND00314,311,54.26,-116.33,1,4,2,120,5,30,120,1
ABRAND00315,362,53.18,-116.33,1,4,2,120,5,30,120,1
ABRAND00316,311,53.42,-116.33,1,4,2,120,5,30,120,1
ABRAND00317,361,53.27,-116.32,1,4,2,120,5,30,120,1
ABRAND00318,601,53.33,-116.31,1,4,2,120,5,30,120,1
ABRAND00319,311,53.3,-116.3,1,4,2,120,5,30,120,1
ABRAND00320,351,53.06,-116.3,1,4,2,120,5,30,120,1
ABRAND00321,362,53.25,-116.3,1,4,2,120,5,30,120,1
ABRAND00322,311,54.39,-116.29,1,4,2,120,5,30,120,1
ABRAND00323,601,53.31,-116.29,1,4,2,120,5,30,120,1
ABRAND00324,601,53.16,-116.28,1,4,2,120,5,30,120,1
ABRAND00325,311,53.18,-116.28,1,4,2,120,5,30,120,1
ABRAND00326,621,53.45,-116.27,1,4,2,120,5,30,120,1
ABRAND00327,361,53.95,-116.26,1,4,2,120,5,30,120,1
ABRAND00328,621,53.16,-116.26,1,4,2,120,5,30,120,1
ABRAND00329,361,53.16,-116.26,1,4,2,120,5,30,120,1
ABRAND00330,311,53.2,-116.25,1,4,2,120,5,30,120,1
ABRAND00331,601,53.42,-116.24,1,4,2,120,5,30,120,1
ABRAND00332,601,53.12,-116.24,1,4,2,120,5,30,120,1
ABRAND00333,361,53.15,-116.24,1,4,2,120,5,30,120,1
ABRAND00334,361,53.21,-116.24,1,4,2,120,5,30,120,1
ABRAND00335,351,53.25,-116.23,1,4,2,120,5,30,120,1
ABRAND00336,601,53.19,-116.23,1,4,2,120,5,30,120,1
ABRAND00337,601,53.16,-116.21,1,4,2,120,5,30,120,1
ABRAND00338,311,53.05,-116.21,1,4,2,120,5,30,120,1
ABRAND00339,362,53.39,-116.21,1,4,2,120,5,30,120,1
ABRAND00340,361,53.43,-116.21,1,4,2,120,5,30,120,1
ABRAND00341,311,53.35,-116.21,1,4,2,120,5,30,120,1
ABRAND00342,311,53.19,-116.2,1,4,2,120,5,30,120,1
ABRAND00343,601,53.56,-116.19,1,4,2,120,5,30,120,1
ABRAND00344,621,53.02,-116.19,1,4,2,120,5,30,120,1
ABRAND00345,361,53.09,-116.19,1,4,2,120,5,30,120,1
ABRAND00346,362,53.11,-116.19,1,4,2,120,5,30,120,1
ABRAND00347,601,53.16,-116.19,1,4,2,120,5,30,120,1
ABRAND00348,322,53.08,-116.18,1,4,2,120,5,30,120,1
ABRAND00349,351,53.94,-116.17,1,4,2,120,5,30,120,1
ABRAND00350,601,53.2,-116.16,1,4,2,120,5,30,120,1
ABRAND00351,601,53.06,-116.15,1,4,2,120,5,30,120,1
ABRAND00352,311,53,-116.14,1,4,2,120,5,30,120,1
ABRAND00353,361,53.48,-116.14,1,4,2,120,5,30,120,1
ABRAND00354,311,53.02,-116.13,1,4,2,120,5,30,120,1
ABRAND00355,601,53.15,-116.13,1,4,2,120,5,30,120,1
ABRAND00356,601,53.25,-116.12,1,4,2,120,5,30,120,1
ABRAND00357,351,53.23,-116.12,1,4,2,120,5,30,120,1
ABRAND00358,601,53.02,-116.12,1,4,2,120,5,30,120,1
ABRAND00359,401,53.11,-116.12,1,4,2,120,5,30,120,1
ABRAND00360,601,52.99,-116.12,1,4,2,120,5,30,120,1
ABRAND00361,361,53.42,-116.11,1,4,2,120,5,30,120,1
ABRAND00362,361,53.89,-116.1,1,4,2,120,5,30,120,1
ABRAND00363,311,52.92,-116.09,1,4,2,120,5,30,120,1
ABRAND00364,351,53.14,-116.09,1,4,2,120,5,30,120,1
ABRAND00365,351,53.07,-116.08,1,4,2,120,5,30,120,1
ABRAND00366,621,53.19,-116.08,1,4,2,120,5,30,120,1
ABRAND00367,361,53.11,-116.08,1,4,2,120,5,30,120,1
ABRAND00368,311,52.98,-116.08,1,4,2,120,5,30,120,1
ABRAND00369,361,53.48,-116.08,1,4,2,120,5,30,120,1
ABRAND00370,361,53.08,-116.08,1,4,2,120,5,30,120,1
ABRAND00371,311,53.18,-116.08,1,4,2,120,5,30,120,1
ABRAND00372,311,52.82,-116.08,1,4,2,120,5,30,120,1
ABRAND00373,621,53.25,-116.07,1,4,2,120,5,30,120,1
ABRAND00374,351,52.92,-116.07,1,4,2,120,5,30,120,1
ABRAND00375,401,53.31,-116.05,1,4,2,120,5,30,120,1
ABRAND00376,321,53.21,-116.05,1,4,2,120,5,30,120,1
ABRAND00377,311,53.4,-116.04,1,4,2,120,5,30,120,1
ABRAND00378,621,53.08,-116.04,1,4,2,120,5,30,120,1
ABRAND00379,361,54.04,-116.04,1,4,2,120,5,30,120,1
ABRAND00380,311,53.34,-116.03,1,4,2,120,5,30,120,1
ABRAND00381,601,53.25,-116.03,1,4,2,120,5,30,120,1
ABRAND00382,351,52.99,-116.03,1,4,2,120,5,30,120,1
ABRAND00383,601,53.79,-116.03,1,4,2,120,5,30,120,1
ABRAND00384,311,53.28,-116.03,1,4,2,120,5,30,120,1
ABRAND00385,601,53.01,-116.02,1,4,2,120,5,30,120,1
ABRAND00386,601,54.16,-116.02,1,4,2,120,5,30,120,1
ABRAND00387,361,53.08,-116.02,1,4,2,120,5,30,120,1
ABRAND00388,361,53.83,-116.01,1,4,2,120,5,30,120,1
ABRAND00389,601,53.71,-116.01,1,4,2,120,5,30,120,1
ABRAND00390,361,53.88,-116.01,1,4,2,120,5,30,120,1
ABRAND00391,311,53.28,-116.01,1,4,2,120,5,30,120,1
ABRAND00392,351,53.1,-116.01,1,4,2,120,5,30,120,1
ABRAND00393,351,53,-116.01,1,4,2,120,5,30,120,1
ABRAND00394,361,52.88,-116,1,4,2,120,5,30,120,1
ABRAND00395,311,52.9,-116,1,4,2,120,5,30,120,1
ABRAND00396,351,53.19,-116,1,4,2,120,5,30,120,1
