facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,OGI_t_since_last_LDAR,OGI_surveys_conducted,attempted_today_OGI?,surveys_done_this_year_OGI,OGI_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND01079,601,51.07,-112.03,1,4,2,120,5,30,120,115355.2005029664,0,8,False,,,18,16,105,6,False,1,0,0,0.156312625250501,0.6192124019735266
ABRAND00604,311,53.32,-115.31,1,4,2,120,5,30,120,11671.6563423936,0,14,False,,,13,9,104,6,False,1,0,0,0.15831663326653306,0.6216090538537545
ABRAND00228,351,54.55,-118.63,1,4,2,120,5,30,120,3074.382559612801,0,16,False,,,11,3,104,6,False,1,0,1,0.16032064128256512,0.6239691762384039
ABRAND00251,361,53.88,-117.85,1,4,2,120,5,30,120,21384.9381210048,1,18,False,,,12,4,104,6,False,1,0,0,0.1623246492985972,0.6263075421914683
ABRAND01117,601,50.17,-110.93,1,4,2,120,5,30,120,4415.6762738784,0,9,False,,,20,18,104,6,False,1,0,1,0.16432865731462926,0.6286245968946309
ABRAND01111,601,50.19,-110.98,1,4,2,120,5,30,120,12942.8667787392,1,12,False,,,20,18,104,6,False,1,0,0,0.16633266533066132,0.6309189483162764
ABRAND01040,601,51.61,-113.12,1,4,2,120,5,30,120,4285.0314715104005,0,9,False,,,17,14,104,6,False,1,0,0,0.1683366733466934,0.6332070787652129
ABRAND01043,601,51.67,-113.06,1,4,2,120,5,30,120,5221.3910671584,0,17,False,,,17,14,104,6,False,1,0,0,0.17034068136272545,0.6354799934514097
ABRAND01042,601,51.66,-113.08,1,4,2,120,5,30,120,18107.3513152512,1,22,False,,,17,14,104,6,False,1,1,0,0.17234468937875752,0.6377181498225096
ABRAND00884,351,52.33,-114.28,1,4,2,120,5,30,120,7293.1095639936,0,11,False,,,15,11,103,6,False,1,0,1,0.1743486973947896,0.6399406510241606
ABRAND01029,601,52.02,-113.37,1,4,2,120,5,30,120,7426.9334029536,2,10,False,,,16,13,103,6,False,1,0,0,0.17635270541082165,0.6421448734106467
