facility_ID,facility_name,operator_code,operator,lat,lon,required_surveys_aircraft,required_surveys_OGI,required_surveys_M21,OGI_time,M21_time,aircraft_time,OGI_FU_time
ABBT0047661,Colin Et Al Swan Hills              ,A7G2,Ridgeback Resources Inc.                  ,54.9323006,-115.3079987,5,0,0,120,240,10,120
ABBT0047663,Summit Mirage 10-8                  ,A7CZ,Rising Star Resources Ltd.                ,55.834301,-119.0540009,5,0,0,120,240,10,120
ABBT0047707,Osprey Provost 04-13                ,A7L3,Ghost River Resources Inc.                ,52.0867004,-110.310997,5,0,0,120,240,10,120
ABBT0047736,Summit Mirage 14-08                 ,A7CZ,Rising Star Resources Ltd.                ,55.8378983,-119.060997,5,0,0,120,240,10,120
ABBT0047779,Karon Pembina 6-36                  ,A727,Sifton Petroleum Inc.                     ,53.009201,-114.4520035,5,0,0,120,240,10,120
ABBT0047803,Northstar Long Coulee 14-12         ,A7AZ,SanLing Energy Ltd.                       ,50.3372993,-112.9049988,5,0,0,120,240,10,120
ABBT0047807,Gordondale 6-12-79-11w6             ,0HE9,Canadian Natural Resources Limited        ,55.8306999,-119.5830002,5,0,0,120,240,10,120
ABBT0047809,00/15-22-058-25w4 St Albert Gswb    ,0TW5,West Star Oil & Gas Co. Ltd.              ,54.0345001,-113.6289978,5,0,0,120,240,10,120
ABBT0047814,Quadron Halkirk 13-30               ,A6L2,Canadian Oil & Gas International Inc.     ,52.3013,-112.288002,5,0,0,120,240,10,120
ABBT0047816,Rigel Gilby 10-12                   ,A7ME,Gain Energy Ltd.                          ,52.5177002,-114.2990036,5,0,0,120,240,10,120
ABBT0047817,Rigel Gilby 10-24                   ,A7ME,Gain Energy Ltd.                          ,52.5467987,-114.2990036,5,0,0,120,240,10,120
ABBT0047849,Pc Alderson Ws Gm G-1 10-21         ,A68P,Canlin Resources Partnership              ,50.2753983,-111.3190002,5,0,0,120,240,10,120
ABBT0047858,Cessford 4-10-26-12w4               ,0HE9,Canadian Natural Resources Limited        ,51.1997986,-111.6070023,5,0,0,120,240,10,120
ABBT0047906,Vermilion West Pem 12-03-50-13      ,A6FW,Vermilion Energy Inc.                     ,53.2888985,-115.8270035,5,0,0,120,240,10,120
ABBT0047928,Drayton Valley 10-21-49-7w5         ,A2JR,Gear Energy Ltd.                          ,53.2449989,-114.9609985,5,0,0,120,240,10,120
ABBT0047952,Vermilion Westpem 08-15-50-13       ,A6FW,Vermilion Energy Inc.                     ,53.3143997,-115.8089981,5,0,0,120,240,10,120
ABBT0047954,Chauvin 11-26-044-04 W4             ,39,Repsol Oil & Gas Canada Inc.              ,52.8233986,-110.4789963,5,0,0,120,240,10,120
ABBT0047958,Paragon Mikwan 05-22                ,A2TG,TAQA North Ltd.                           ,52.1048012,-113.072998,5,0,0,120,240,10,120
ABBT0047981,Petrorep Provost 03-15              ,A5TT,Tamarack Acquisition Corp.                ,51.9994011,-110.7819977,5,0,0,120,240,10,120
ABBT0048000,Culp 16-2-79-24w5                   ,0HE9,Canadian Natural Resources Limited        ,55.8233986,-117.6330032,5,0,0,120,240,10,120
ABBT0048010,Pcp Leahurst 14-34                  ,A6EF,Rally Canada Resources Ltd.               ,52.2285004,-112.4960022,5,0,0,120,240,10,120
ABBT0048027,Taber 4-20-7-16w4                   ,0HE9,Canadian Natural Resources Limited        ,49.5693016,-112.1470032,5,0,0,120,240,10,120
ABBT0048066,Renaissance 2d Taber Se 2-9         ,A5BL,Arrow Point Oil & Gas Ltd.                ,49.6276016,-111.9769974,5,0,0,120,240,10,120
ABBT0048100,Trilogy Kaybob South Treestone 05-12,0AW4,Paramount Resources Ltd.                  ,54.2594986,-116.7229996,5,0,0,120,240,10,120
ABBT0048110,Amoco Caroline 06-04                ,A63R,Sitka Exploration Ltd.                    ,51.8879013,-114.6539993,5,0,0,120,240,10,120
ABBT0048139,Summit 08-08                        ,A7CZ,Rising Star Resources Ltd.                ,55.8306999,-119.0479965,5,0,0,120,240,10,120
ABBT0048165,Co-Enerco Shekilie 03-10            ,0AW4,Paramount Resources Ltd.                  ,59.2285004,-119.2699966,5,0,0,120,240,10,120
ABBT0048183,Colin Chicken 5-33                  ,A2TG,TAQA North Ltd.                           ,54.3176994,-118.9960022,5,0,0,120,240,10,120
ABBT0048202,Charlotte Lake 9-8-61-4w4           ,0HE9,Canadian Natural Resources Limited        ,54.2624016,-110.5579987,5,0,0,120,240,10,120
ABBT0048245,Rising Pembina North 10-08          ,0XZ4,Bonterra Energy Corp.                     ,53.2159996,-114.8399963,5,0,0,120,240,10,120
ABBT0048258,Luscar Bigoray 04-24                ,0BP8,Obsidian Energy Ltd.                      ,53.4998016,-115.0550003,5,0,0,120,240,10,120
ABBT0048269,Cdn Forest 16-14                    ,A1JY,Fort Calgary Resources Ltd.               ,52.2719994,-111.0319977,5,0,0,120,240,10,120
ABBT0048300,Hcrl Little Horse 07-35             ,A1E3,Sabanero Energy Corp.                     ,55.7140999,-115.9000015,5,0,0,120,240,10,120
ABBT0048353,Place Charron 5-5                   ,A5M4,Manitok Energy Inc.                       ,55.0294991,-112.2649994,5,0,0,120,240,10,120
ABBT0048408,Dekalb Harmattan East 6-17          ,0TM9,NAL Resources Limited                     ,51.7422981,-114.2529984,5,0,0,120,240,10,120
ABBT0048415,Ncp Pcp Red Willow 10-03            ,A6L2,Canadian Oil & Gas International Inc.     ,52.3266983,-112.2210007,5,0,0,120,240,10,120
ABBT0048421,Samson Innisfail 11-10              ,A216,Enhance Energy Inc.                       ,51.9970016,-114.064003,5,0,0,120,240,10,120
ABBT0048425,Mobil Mcleod 6-5                    ,A5D4,Cenovus Energy Inc.                       ,53.8958015,-116.0479965,5,0,0,120,240,10,120
ABBT0048426,Cometra Et Al Woodriver 04-04       ,A663,Trident Exploration (Alberta) Corp.       ,52.6696014,-113.2900009,5,0,0,120,240,10,120
ABBT0048438,Stampeder Bigoray 11-35             ,0BP8,Obsidian Energy Ltd.                      ,53.3614998,-115.2109985,5,0,0,120,240,10,120
ABBT0048466,Lakewood Alderson 8-8               ,0R89,Signalta Resources Limited                ,50.5046005,-111.1989975,5,0,0,120,240,10,120
ABBT0048482,Itx Hays 15-33-12-15w4              ,A5M4,Manitok Energy Inc.                       ,50.0461006,-111.9919968,5,0,0,120,240,10,120
ABBT0048508,Cabre Provost 12-20-36              ,0YK4,Surge Energy Inc.                         ,52.1083984,-110.9779968,5,0,0,120,240,10,120
ABBT0048529,Surge Nevis 06-02-039-23w4 Swb - G  ,0YK4,Surge Energy Inc.                         ,52.3232002,-113.2109985,5,0,0,120,240,10,120
ABBT0048536,Gulf Westerose South 04-36          ,A5D4,Cenovus Energy Inc.                       ,52.8306999,-114.0230026,5,0,0,120,240,10,120
