facility_ID,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABRAND00066,54.94,-119.61,3,4,6,120,5,30,120
ABRAND00067,54.85,-119.61,3,4,6,120,5,30,120
ABRAND00068,57.4,-119.6,3,4,6,120,5,30,120
ABRAND00069,55.01,-119.6,3,4,6,120,5,30,120
ABRAND00070,55.14,-119.59,3,4,6,120,5,30,120
ABRAND00071,54.55,-119.58,3,4,6,120,5,30,120
ABRAND00072,54.84,-119.58,3,4,6,120,5,30,120
ABRAND00073,54.72,-119.58,3,4,6,120,5,30,120
ABRAND00074,55.13,-119.57,3,4,6,120,5,30,120
ABRAND00075,57.6,-119.57,3,4,6,120,5,30,120
ABRAND00076,55.15,-119.57,1,4,6,120,5,30,120
ABRAND00077,57.41,-119.56,3,4,6,120,5,30,120
ABRAND00078,54.98,-119.56,3,4,6,120,5,30,120
ABRAND00079,54.72,-119.56,3,4,6,120,5,30,120
ABRAND00080,54.85,-119.56,3,4,6,120,5,30,120
ABRAND00081,55.09,-119.56,3,4,6,120,5,30,120
ABRAND00082,55.14,-119.56,3,4,6,120,5,30,120
ABRAND00083,55.43,-119.55,1,4,6,120,5,30,120
ABRAND00084,55.08,-119.55,3,4,6,120,5,30,120
ABRAND00085,57.51,-119.55,1,4,6,120,5,30,120
ABRAND00086,54.86,-119.54,3,4,6,120,5,30,120
ABRAND00087,54.43,-119.53,3,4,6,120,5,30,120
ABRAND00088,54.55,-119.53,3,4,6,120,5,30,120
ABRAND00089,54.78,-119.52,3,4,6,120,5,30,120
ABRAND00090,55.08,-119.52,3,4,6,120,5,30,120
ABRAND00091,55.04,-119.51,1,4,6,120,5,30,120
ABRAND00092,54.74,-119.51,3,4,6,120,5,30,120
ABRAND00093,54.84,-119.51,1,4,6,120,5,30,120
ABRAND00094,54.65,-119.51,3,4,6,120,5,30,120
ABRAND00095,54.72,-119.5,3,4,6,120,5,30,120
ABRAND00096,55.35,-119.5,1,4,6,120,5,30,120
ABRAND00097,55.37,-119.5,3,4,6,120,5,30,120
ABRAND00098,54.94,-119.5,3,4,6,120,5,30,120
ABRAND00099,54.69,-119.47,3,4,6,120,5,30,120
ABRAND00100,55.23,-119.46,3,4,6,120,5,30,120
ABRAND00101,54.88,-119.44,3,4,6,120,5,30,120
ABRAND00102,57.45,-119.44,3,4,6,120,5,30,120
ABRAND00103,54.98,-119.44,3,4,6,120,5,30,120
ABRAND00104,54.58,-119.42,3,4,6,120,5,30,120
ABRAND00105,55.84,-119.42,1,4,6,120,5,30,120
ABRAND00106,55.2,-119.4,1,4,6,120,5,30,120
ABRAND00107,54.9,-119.4,3,4,6,120,5,30,120
ABRAND00108,54.82,-119.39,3,4,6,120,5,30,120
ABRAND00109,54.68,-119.38,1,4,6,120,5,30,120
ABRAND00110,54.85,-119.38,3,4,6,120,5,30,120
ABRAND00111,55.55,-119.38,3,4,6,120,5,30,120
ABRAND00112,55.11,-119.38,3,4,6,120,5,30,120
ABRAND00113,54.91,-119.38,3,4,6,120,5,30,120
ABRAND00114,55.12,-119.37,1,4,6,120,5,30,120
ABRAND00115,54.86,-119.36,3,4,6,120,5,30,120
ABRAND00116,55.29,-119.34,3,4,6,120,5,30,120
