facility_ID,facility_name,operator_code,operator_name,subtype_code,subtype,license_number,EDCT_code,LDAR,EDCT_description,Licensee_code,operational_status,lat,lon,lat_adj,lon_adj,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABCS0025290,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F25290    ,20,T,Gas Multi Bty <0.01 ,A5D4,Active,54.0856934,-115.8400574,53.96466152,-115.9516822,3,4,6,120,5,30,120
ABBT0128638,Copol 100 Hz Westpem 5-34-50-14     ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0435943 ,360,A,Single Well <0.3    ,A5D4,Active,53.3701172,-115.9840927,53.40863563,-115.9471202,3,4,6,120,5,30,120
ABBT0041747,Mobil Mcleod Valley Ggs             ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,,,A,,,Active,53.7794838,-115.9678116,53.75864603,-115.943179,3,4,6,120,5,30,120
ABBT0134799,Mcleod 14-04-057-13w5               ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0212348 ,,A,,A5D4,Active,53.9015846,-115.8774261,53.88679595,-115.9410801,3,4,6,120,5,30,120
ABBT0089299,Brazeau 04-05-047-13w502            ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0334736 ,140,A,Single Well 0.00    ,A5D4,Active,53.0210876,-115.8733444,52.81597297,-115.9402268,3,4,6,120,5,30,120
ABBT0105530,Brazeau 13-14/03 Oil Well           ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0274213 ,280,A,Single Well <0.01   ,A5D4,Active,53.0581665,-115.9462433,52.96033712,-115.9286925,3,4,6,120,5,30,120
ABCS0027681,Conocophillips Canada Resources Corp,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F27681    ,440,A,Compressor Stn >=1t/d,A5D4,Active,52.9033737,-115.8356781,52.87786244,-115.9257801,3,4,6,120,5,30,120
ABCS0042429,Conocophillips Canada Operations Ltd,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F42429    ,340,A,Compressor Stn <1t/d,A5D4,Active,52.9782982,-115.8446198,53.19513893,-115.9250953,3,4,6,120,5,30,120
ABBT0086515,Brazeau 04-08-047-14w5 Swb          ,A5D4,Cenovus Energy Inc.                       ,351,Gas Single-Well Battery                 ,W 0079073 ,,A,,A5D4,Active,53.0340157,-116.023674,53.1482113,-115.923358,3,4,6,120,5,30,120
ABBT0098907,Brazeau River 02-10-48-15w5         ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0394278 ,140,A,Single Well 0.00    ,A5D4,Active,53.1198006,-115.9607925,53.21693552,-115.920828,3,4,6,120,5,30,120
ABCS0012823,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F12823    ,40,T,Compressor Stn <0.01,A5D4,Active,53.7703781,-116.0000229,53.8232158,-115.9183162,3,4,6,120,5,30,120
ABBT0064133,Niton 10-17                         ,A5D4,Cenovus Energy Inc.                       ,322,Crude Oil Multiwell Proration Battery   ,F23389    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,53.7538643,-115.7449417,53.68644996,-115.9179908,3,4,6,120,5,30,120
