facility_ID,subtype_code,lat,lon,equipment_groups
61,1,-104.2139402,31.68960932,1
62,1,-103.4455594,31.98533889,1
63,1,-103.2100453,31.63801905,1
64,1,-103.6872145,32.8958333,1
65,1,-101.5460164,31.64983378,1
66,1,-103.7352668,31.64090096,1
67,1,-103.5045359,32.25463395,1
68,1,-101.7904413,31.48778958,1
69,1,-103.47287,31.53850726,1
70,1,-102.0774474,31.82637239,1
71,1,-101.4060422,31.56843268,1
72,1,-101.5326075,31.39500097,1
73,1,-103.6442602,32.51305558,1
74,1,-103.361511,33.2405353,1
75,1,-103.4324141,33.34109631,1
76,1,-103.8861121,31.56360832,1
77,1,-101.703092,32.28115396,1
78,1,-103.6888226,32.32872184,1
79,1,-103.7316248,31.82893907,1
80,1,-103.5813346,33.45295685,1
81,1,-103.7901989,32.83445345,1
82,1,-103.5852385,32.94665431,1
83,1,-103.8051979,31.11608328,1
84,1,-101.8668645,31.94354158,1
85,1,-101.1970149,31.17606352,1
86,1,-104.0324624,32.92694302,1
87,1,-103.8453924,32.36424819,1
88,1,-101.621175,31.70376318,1
89,1,-103.4424622,31.91560177,1
90,1,-103.4578539,32.89088715,1
91,1,-103.5875448,30.95113754,1
92,1,-103.0910235,31.76043855,1
93,1,-103.397225,31.07148598,1
94,1,-103.851421,31.93472915,1
95,1,-101.3632677,31.45987264,1
96,1,-101.8716648,31.850646,1
97,1,-103.0069472,31.565185,1
98,1,-104.2354673,32.15430778,1
99,1,-101.7742672,32.10232552,1
100,1,-101.1513451,31.18270791,1
101,1,-104.5353146,32.44781958,1
102,1,-103.583797,31.82223707,1
103,1,-104.0147913,32.80197185,1
104,1,-103.8914607,32.38353626,1
105,1,-101.9026274,32.76666122,1
106,1,-104.7018506,32.63796045,1
107,1,-101.9285632,32.59086141,1
108,1,-104.4653158,32.17669224,1
109,1,-101.5797633,32.58755735,1
110,1,-103.6150047,31.36768664,1
111,1,-103.3001649,33.40609062,1
112,1,-102.2276808,31.80370919,1
113,1,-103.1329217,32.25648997,1
114,1,-101.4634131,31.31227177,1
115,1,-101.9879102,31.8794251,1
116,1,-103.8175181,32.98680689,1
