facility_ID,subtype_code,lat,lon,equipment_groups,,,,,
S-000329,1,39.89043057,-80.24778417,1,,,,,
S-000382,1,39.81453191,-80.17388251,1,,,,,
S-000302,1,40.05029572,-80.41079709,1,,,,,
S-000486,1,39.92458277,-80.12996849,1,,,,,
S-000330,1,39.87406977,-80.20560035,1,,,,,
S-000033,1,40.12115556,-80.06291664,1,,,,,
S-000018,1,40.13052777,-80.12365026,1,,,,,
S-000309,1,39.91344184,-80.27239638,1,,,,,
S-000281,1,39.96088017,-80.09477975,1,,,,,
S-000283,1,39.9533803,-80.10186331,1,,,,,
S-000041,1,40.07095309,-80.0696019,1,,,,,
S-000378,1,39.83436583,-80.21697637,1,,,,,
S-000376,1,39.826719,-80.27931098,1,,,,,
S-000372,1,39.81896389,-80.28772221,1,,,,,
S-000009,1,40.27750293,-80.02725576,1,,,,,
S-000017,1,40.1248736,-80.13333388,1,,,,,
S-001510,1,39.948139,-79.956894,1,,,,,
S-000315,1,39.93361693,-80.31741983,1,,,,,
S-000423,1,39.80222397,-80.50171139,1,,,,,
S-000029,1,40.16419583,-80.15865945,1,,,,,
S-000015,1,40.18943209,-79.93755472,1,,,,,
S-000311,1,39.91385021,-80.30283113,1,,,,,
S-000060,1,40.05078104,-80.08713605,1,,,,,
S-000340,1,39.92541667,-80.39380557,1,,,,,
S-000474,1,39.98813302,-80.1093454,1,,,,,
S-000039,1,40.08276082,-80.03430554,1,,,,,
S-000338,1,39.93458055,-80.35437472,1,,,,,
S-000424,1,39.78927277,-80.48121416,1,,,,,
S-000035,1,40.12469611,-79.99392083,1,,,,,
S-000052,1,40.09937221,-80.17962138,1,,,,,
S-000475,1,39.99233475,-80.04186543,1,,,,,
S-001567,1,40.01032283,-80.01847188,1,,,,,
S-001526,1,39.908489,-80.035386,1,,,,,
S-000042,1,40.07715578,-80.06276256,1,,,,,
